📍 Resuming from checkpoint: 0 records
🚀 Starting import with batch size: 2000
📊 Target file: pp-complete.csv
✅ Imported 470,000 records (18808/sec)
✅ Imported 472,000 records (18760/sec)
✅ Imported 474,000 records (18705/sec)
✅ Imported 476,000 records (18657/sec)
✅ Imported 478,000 records (18627/sec)
✅ Imported 480,000 records (18610/sec)
✅ Imported 482,000 records (18613/sec)
✅ Imported 484,000 records (18609/sec)
✅ Imported 486,000 records (18531/sec)
✅ Imported 488,000 records (18489/sec)
✅ Imported 490,000 records (18469/sec)
✅ Imported 492,000 records (18431/sec)
✅ Imported 494,000 records (18404/sec)
✅ Imported 496,000 records (18412/sec)
✅ Imported 498,000 records (18353/sec)
✅ Imported 500,000 records (18349/sec)
✅ Imported 502,000 records (18265/sec)
✅ Imported 504,000 records (18264/sec)
✅ Imported 506,000 records (18259/sec)
✅ Imported 508,000 records (18272/sec)
✅ Imported 510,000 records (18278/sec)
✅ Imported 512,000 records (18282/sec)
✅ Imported 514,000 records (18293/sec)
✅ Imported 516,000 records (18288/sec)
✅ Imported 518,000 records (18302/sec)
✅ Imported 520,000 records (18301/sec)
✅ Imported 522,000 records (18249/sec)
✅ Imported 524,000 records (18251/sec)
✅ Imported 526,000 records (18254/sec)
✅ Imported 528,000 records (18256/sec)
✅ Imported 530,000 records (18248/sec)
✅ Imported 532,000 records (18260/sec)
✅ Imported 534,000 records (18253/sec)
✅ Imported 536,000 records (18255/sec)
✅ Imported 538,000 records (18232/sec)
✅ Imported 540,000 records (18217/sec)
✅ Imported 542,000 records (18195/sec)
✅ Imported 544,000 records (18207/sec)
✅ Imported 546,000 records (18216/sec)
✅ Imported 548,000 records (18219/sec)
✅ Imported 550,000 records (18206/sec)
✅ Imported 552,000 records (18205/sec)
✅ Imported 554,000 records (18208/sec)
✅ Imported 556,000 records (18225/sec)
✅ Imported 558,000 records (18239/sec)
✅ Imported 560,000 records (18255/sec)
✅ Imported 562,000 records (18270/sec)
✅ Imported 564,000 records (18283/sec)
✅ Imported 566,000 records (18294/sec)
✅ Imported 568,000 records (18308/sec)
✅ Imported 570,000 records (18321/sec)
✅ Imported 572,000 records (18307/sec)
✅ Imported 574,000 records (18309/sec)
✅ Imported 576,000 records (18322/sec)
✅ Imported 578,000 records (18338/sec)
✅ Imported 580,000 records (18352/sec)
✅ Imported 582,000 records (18372/sec)
✅ Imported 584,000 records (18391/sec)
✅ Imported 586,000 records (18359/sec)
✅ Imported 588,000 records (18374/sec)
✅ Imported 590,000 records (18390/sec)
✅ Imported 592,000 records (18409/sec)
✅ Imported 594,000 records (18424/sec)
✅ Imported 596,000 records (18433/sec)
✅ Imported 598,000 records (18444/sec)
✅ Imported 600,000 records (18459/sec)
✅ Imported 602,000 records (18469/sec)
✅ Imported 604,000 records (18480/sec)
✅ Imported 606,000 records (18494/sec)
✅ Imported 608,000 records (18503/sec)
✅ Imported 610,000 records (18520/sec)
✅ Imported 612,000 records (18517/sec)
✅ Imported 614,000 records (18531/sec)
✅ Imported 616,000 records (18545/sec)
✅ Imported 618,000 records (18557/sec)
✅ Imported 620,000 records (18566/sec)
✅ Imported 622,000 records (18572/sec)
✅ Imported 624,000 records (18515/sec)
✅ Imported 626,000 records (18517/sec)
✅ Imported 628,000 records (18523/sec)
✅ Imported 630,000 records (18531/sec)
✅ Imported 632,000 records (18543/sec)
✅ Imported 634,000 records (18552/sec)
✅ Imported 636,000 records (18561/sec)
✅ Imported 638,000 records (18575/sec)
✅ Imported 640,000 records (18559/sec)
✅ Imported 642,000 records (18545/sec)
✅ Imported 644,000 records (18553/sec)
✅ Imported 646,000 records (18550/sec)
✅ Imported 648,000 records (18543/sec)
✅ Imported 650,000 records (18552/sec)
✅ Imported 652,000 records (18562/sec)
✅ Imported 654,000 records (18571/sec)
✅ Imported 656,000 records (18568/sec)
✅ Imported 658,000 records (18580/sec)
✅ Imported 660,000 records (18590/sec)
✅ Imported 662,000 records (18601/sec)
✅ Imported 664,000 records (18612/sec)
✅ Imported 666,000 records (18623/sec)
✅ Imported 668,000 records (18637/sec)
✅ Imported 670,000 records (18561/sec)
✅ Imported 672,000 records (18572/sec)
✅ Imported 674,000 records (18581/sec)
✅ Imported 676,000 records (18592/sec)
✅ Imported 678,000 records (18597/sec)
✅ Imported 680,000 records (18599/sec)
✅ Imported 682,000 records (18612/sec)
✅ Imported 684,000 records (18624/sec)
✅ Imported 686,000 records (18638/sec)
✅ Imported 688,000 records (18651/sec)
✅ Imported 690,000 records (18649/sec)
✅ Imported 692,000 records (18655/sec)
✅ Imported 694,000 records (18662/sec)
✅ Imported 696,000 records (18667/sec)
✅ Imported 698,000 records (18678/sec)
✅ Imported 700,000 records (18686/sec)
✅ Imported 702,000 records (18692/sec)
✅ Imported 704,000 records (18700/sec)
✅ Imported 706,000 records (18584/sec)
✅ Imported 708,000 records (18590/sec)
✅ Imported 710,000 records (18598/sec)
✅ Imported 712,000 records (18593/sec)
✅ Imported 714,000 records (18594/sec)
✅ Imported 716,000 records (18603/sec)
✅ Imported 718,000 records (18602/sec)
✅ Imported 720,000 records (18600/sec)
✅ Imported 722,000 records (18609/sec)
✅ Imported 724,000 records (18620/sec)
✅ Imported 726,000 records (18626/sec)
✅ Imported 728,000 records (18628/sec)
✅ Imported 730,000 records (18634/sec)
✅ Imported 732,000 records (18641/sec)
✅ Imported 734,000 records (18646/sec)
✅ Imported 736,000 records (18611/sec)
✅ Imported 738,000 records (18612/sec)
✅ Imported 740,000 records (18619/sec)
✅ Imported 742,000 records (18624/sec)
✅ Imported 744,000 records (18568/sec)
✅ Imported 746,000 records (18555/sec)
✅ Imported 748,000 records (18557/sec)
✅ Imported 750,000 records (18551/sec)
✅ Imported 752,000 records (18556/sec)
✅ Imported 754,000 records (18570/sec)
✅ Imported 756,000 records (18584/sec)
✅ Imported 758,000 records (18596/sec)
✅ Imported 760,000 records (18611/sec)
✅ Imported 762,000 records (18621/sec)
✅ Imported 764,000 records (18631/sec)
✅ Imported 766,000 records (18642/sec)
✅ Imported 768,000 records (18652/sec)
✅ Imported 770,000 records (18661/sec)
✅ Imported 772,000 records (18674/sec)
✅ Imported 774,000 records (18685/sec)
✅ Imported 776,000 records (18698/sec)
✅ Imported 778,000 records (18707/sec)
✅ Imported 780,000 records (18719/sec)
✅ Imported 782,000 records (18725/sec)
✅ Imported 784,000 records (18737/sec)
✅ Imported 786,000 records (18745/sec)
✅ Imported 788,000 records (18752/sec)
✅ Imported 790,000 records (18758/sec)
✅ Imported 792,000 records (18768/sec)
✅ Imported 794,000 records (18775/sec)
✅ Imported 796,000 records (18765/sec)
✅ Imported 798,000 records (18774/sec)
✅ Imported 800,000 records (18782/sec)
✅ Imported 802,000 records (18793/sec)
✅ Imported 804,000 records (18807/sec)
✅ Imported 806,000 records (18818/sec)
✅ Imported 808,000 records (18831/sec)
✅ Imported 810,000 records (18839/sec)
✅ Imported 812,000 records (18838/sec)
✅ Imported 814,000 records (18846/sec)
✅ Imported 816,000 records (18852/sec)
✅ Imported 818,000 records (18857/sec)
✅ Imported 820,000 records (18863/sec)
✅ Imported 822,000 records (18878/sec)
✅ Imported 824,000 records (18875/sec)
✅ Imported 826,000 records (18889/sec)
✅ Imported 828,000 records (18899/sec)
✅ Imported 830,000 records (18874/sec)
✅ Imported 832,000 records (18882/sec)
✅ Imported 834,000 records (18889/sec)
✅ Imported 836,000 records (18899/sec)
✅ Imported 838,000 records (18903/sec)
✅ Imported 840,000 records (18881/sec)
✅ Imported 842,000 records (18879/sec)
✅ Imported 844,000 records (18887/sec)
✅ Imported 846,000 records (18898/sec)
✅ Imported 848,000 records (18903/sec)
✅ Imported 850,000 records (18913/sec)
✅ Imported 852,000 records (18829/sec)
✅ Imported 854,000 records (18731/sec)
✅ Imported 856,000 records (18734/sec)
✅ Imported 858,000 records (18741/sec)
✅ Imported 860,000 records (18745/sec)
✅ Imported 862,000 records (18751/sec)
✅ Imported 864,000 records (18758/sec)
✅ Imported 866,000 records (18766/sec)
✅ Imported 868,000 records (18778/sec)
✅ Imported 870,000 records (18776/sec)
✅ Imported 872,000 records (18783/sec)
✅ Imported 874,000 records (18790/sec)
✅ Imported 876,000 records (18793/sec)
✅ Imported 878,000 records (18798/sec)
✅ Imported 880,000 records (18806/sec)
✅ Imported 882,000 records (18811/sec)
✅ Imported 884,000 records (18818/sec)
✅ Imported 886,000 records (18683/sec)
✅ Imported 888,000 records (18679/sec)
✅ Imported 890,000 records (18638/sec)
✅ Imported 892,000 records (18644/sec)
✅ Imported 894,000 records (18652/sec)
✅ Imported 896,000 records (18659/sec)
✅ Imported 898,000 records (18667/sec)
✅ Imported 900,000 records (18674/sec)
✅ Imported 902,000 records (18684/sec)
✅ Imported 904,000 records (18693/sec)
✅ Imported 906,000 records (18706/sec)
✅ Imported 908,000 records (18718/sec)
✅ Imported 910,000 records (18716/sec)
✅ Imported 912,000 records (18708/sec)
✅ Imported 914,000 records (18717/sec)
✅ Imported 916,000 records (18727/sec)
✅ Imported 918,000 records (18738/sec)
✅ Imported 920,000 records (18744/sec)
✅ Imported 922,000 records (18756/sec)
✅ Imported 924,000 records (18752/sec)
✅ Imported 926,000 records (18758/sec)
✅ Imported 928,000 records (18738/sec)
✅ Imported 930,000 records (18738/sec)
✅ Imported 932,000 records (18746/sec)
✅ Imported 934,000 records (18751/sec)
✅ Imported 936,000 records (18762/sec)
✅ Imported 938,000 records (18771/sec)
✅ Imported 940,000 records (18777/sec)
✅ Imported 942,000 records (18777/sec)
✅ Imported 944,000 records (18778/sec)
✅ Imported 946,000 records (18783/sec)
✅ Imported 948,000 records (18789/sec)
✅ Imported 950,000 records (18788/sec)
✅ Imported 952,000 records (18792/sec)
✅ Imported 954,000 records (18802/sec)
✅ Imported 956,000 records (18781/sec)
✅ Imported 958,000 records (18782/sec)
✅ Imported 960,000 records (18780/sec)
✅ Imported 962,000 records (18786/sec)
✅ Imported 964,000 records (18794/sec)
✅ Imported 966,000 records (18801/sec)
✅ Imported 968,000 records (18799/sec)
✅ Imported 970,000 records (18790/sec)
✅ Imported 972,000 records (18791/sec)
✅ Imported 974,000 records (18794/sec)
✅ Imported 976,000 records (18797/sec)
✅ Imported 978,000 records (18778/sec)
✅ Imported 980,000 records (18780/sec)
✅ Imported 982,000 records (18759/sec)
✅ Imported 984,000 records (18751/sec)
✅ Imported 986,000 records (18704/sec)
✅ Imported 988,000 records (18703/sec)
✅ Imported 990,000 records (18700/sec)
✅ Imported 992,000 records (18509/sec)
✅ Imported 994,000 records (18422/sec)
✅ Imported 996,000 records (18378/sec)
✅ Imported 998,000 records (18334/sec)
✅ Imported 1,000,000 records (18229/sec)
✅ Imported 1,002,000 records (18216/sec)
✅ Imported 1,004,000 records (18083/sec)
✅ Imported 1,006,000 records (17960/sec)
✅ Imported 1,008,000 records (17896/sec)
✅ Imported 1,010,000 records (17892/sec)
✅ Imported 1,012,000 records (17890/sec)
✅ Imported 1,014,000 records (17883/sec)
✅ Imported 1,016,000 records (17873/sec)
✅ Imported 1,018,000 records (17876/sec)
✅ Imported 1,020,000 records (17857/sec)
✅ Imported 1,022,000 records (17862/sec)
✅ Imported 1,024,000 records (17857/sec)
✅ Imported 1,026,000 records (17849/sec)
✅ Imported 1,028,000 records (17845/sec)
✅ Imported 1,030,000 records (17838/sec)
✅ Imported 1,032,000 records (17826/sec)
✅ Imported 1,034,000 records (17825/sec)
✅ Imported 1,036,000 records (17814/sec)
✅ Imported 1,038,000 records (17805/sec)
✅ Imported 1,040,000 records (17801/sec)
✅ Imported 1,042,000 records (17802/sec)
✅ Imported 1,044,000 records (17802/sec)
✅ Imported 1,046,000 records (17792/sec)
✅ Imported 1,048,000 records (17782/sec)
✅ Imported 1,050,000 records (17782/sec)
✅ Imported 1,052,000 records (17788/sec)
✅ Imported 1,054,000 records (17796/sec)
✅ Imported 1,056,000 records (17804/sec)
✅ Imported 1,058,000 records (17802/sec)
✅ Imported 1,060,000 records (17810/sec)
✅ Imported 1,062,000 records (17816/sec)
✅ Imported 1,064,000 records (17812/sec)
✅ Imported 1,066,000 records (17813/sec)
✅ Imported 1,068,000 records (17822/sec)
✅ Imported 1,070,000 records (17833/sec)
✅ Imported 1,072,000 records (17840/sec)
✅ Imported 1,074,000 records (17827/sec)
✅ Imported 1,076,000 records (17705/sec)
✅ Imported 1,078,000 records (17697/sec)
✅ Imported 1,080,000 records (17657/sec)
✅ Imported 1,082,000 records (17450/sec)
✅ Imported 1,084,000 records (17395/sec)
✅ Imported 1,086,000 records (17357/sec)
✅ Imported 1,088,000 records (17356/sec)
✅ Imported 1,090,000 records (17330/sec)
✅ Imported 1,092,000 records (17332/sec)
✅ Imported 1,094,000 records (17326/sec)
✅ Imported 1,096,000 records (17334/sec)
✅ Imported 1,098,000 records (17342/sec)
✅ Imported 1,100,000 records (17343/sec)
✅ Imported 1,102,000 records (17350/sec)
✅ Imported 1,104,000 records (17356/sec)
✅ Imported 1,106,000 records (17360/sec)
✅ Imported 1,108,000 records (17363/sec)
✅ Imported 1,110,000 records (17363/sec)
✅ Imported 1,112,000 records (17363/sec)
✅ Imported 1,114,000 records (17367/sec)
✅ Imported 1,116,000 records (17373/sec)
✅ Imported 1,118,000 records (17377/sec)
✅ Imported 1,120,000 records (17370/sec)
✅ Imported 1,122,000 records (17376/sec)
✅ Imported 1,124,000 records (17379/sec)
✅ Imported 1,126,000 records (17387/sec)
✅ Imported 1,128,000 records (17395/sec)
✅ Imported 1,130,000 records (17399/sec)
✅ Imported 1,132,000 records (17407/sec)
✅ Imported 1,134,000 records (17413/sec)
✅ Imported 1,136,000 records (17422/sec)
✅ Imported 1,138,000 records (17431/sec)
✅ Imported 1,140,000 records (17436/sec)
✅ Imported 1,142,000 records (17443/sec)
✅ Imported 1,144,000 records (17447/sec)
✅ Imported 1,146,000 records (17455/sec)
✅ Imported 1,148,000 records (17460/sec)
✅ Imported 1,150,000 records (17464/sec)
✅ Imported 1,152,000 records (17473/sec)
✅ Imported 1,154,000 records (17478/sec)
✅ Imported 1,156,000 records (17480/sec)
✅ Imported 1,158,000 records (17472/sec)
✅ Imported 1,160,000 records (17472/sec)
✅ Imported 1,162,000 records (17476/sec)
✅ Imported 1,164,000 records (17482/sec)
✅ Imported 1,166,000 records (17478/sec)
✅ Imported 1,168,000 records (17486/sec)
✅ Imported 1,170,000 records (17492/sec)
✅ Imported 1,172,000 records (17499/sec)
✅ Imported 1,174,000 records (17502/sec)
✅ Imported 1,176,000 records (17487/sec)
✅ Imported 1,178,000 records (17480/sec)
✅ Imported 1,180,000 records (17479/sec)
✅ Imported 1,182,000 records (17476/sec)
✅ Imported 1,184,000 records (17472/sec)
✅ Imported 1,186,000 records (17473/sec)
✅ Imported 1,188,000 records (17483/sec)
✅ Imported 1,190,000 records (17488/sec)
✅ Imported 1,192,000 records (17492/sec)
✅ Imported 1,194,000 records (17491/sec)
✅ Imported 1,196,000 records (17495/sec)
✅ Imported 1,198,000 records (17499/sec)
✅ Imported 1,200,000 records (17504/sec)
✅ Imported 1,202,000 records (17507/sec)
✅ Imported 1,204,000 records (17506/sec)
✅ Imported 1,206,000 records (17502/sec)
✅ Imported 1,208,000 records (17506/sec)
✅ Imported 1,210,000 records (17507/sec)
✅ Imported 1,212,000 records (17498/sec)
✅ Imported 1,214,000 records (17493/sec)
✅ Imported 1,216,000 records (17485/sec)
✅ Imported 1,218,000 records (17479/sec)
✅ Imported 1,220,000 records (17484/sec)
✅ Imported 1,222,000 records (17486/sec)
✅ Imported 1,224,000 records (17489/sec)
✅ Imported 1,226,000 records (17489/sec)
✅ Imported 1,228,000 records (17494/sec)
✅ Imported 1,230,000 records (17500/sec)
✅ Imported 1,232,000 records (17497/sec)
✅ Imported 1,234,000 records (17496/sec)
✅ Imported 1,236,000 records (17499/sec)
✅ Imported 1,238,000 records (17506/sec)
✅ Imported 1,240,000 records (17509/sec)
✅ Imported 1,242,000 records (17518/sec)
✅ Imported 1,244,000 records (17524/sec)
✅ Imported 1,246,000 records (17532/sec)
✅ Imported 1,248,000 records (17541/sec)
✅ Imported 1,250,000 records (17545/sec)
✅ Imported 1,252,000 records (17552/sec)
✅ Imported 1,254,000 records (17559/sec)
✅ Imported 1,256,000 records (17564/sec)
✅ Imported 1,258,000 records (17572/sec)
✅ Imported 1,260,000 records (17562/sec)
✅ Imported 1,262,000 records (17570/sec)
✅ Imported 1,264,000 records (17573/sec)
✅ Imported 1,266,000 records (17534/sec)
✅ Imported 1,268,000 records (17532/sec)
✅ Imported 1,270,000 records (17533/sec)
✅ Imported 1,272,000 records (17538/sec)
✅ Imported 1,274,000 records (17541/sec)
✅ Imported 1,276,000 records (17528/sec)
✅ Imported 1,278,000 records (17531/sec)
✅ Imported 1,280,000 records (17525/sec)
✅ Imported 1,282,000 records (17507/sec)
✅ Imported 1,284,000 records (17492/sec)
✅ Imported 1,286,000 records (17495/sec)
✅ Imported 1,288,000 records (17488/sec)
✅ Imported 1,290,000 records (17444/sec)
✅ Imported 1,292,000 records (17330/sec)
✅ Imported 1,294,000 records (17299/sec)
✅ Imported 1,296,000 records (17277/sec)
✅ Imported 1,298,000 records (16160/sec)
✅ Imported 1,300,000 records (15853/sec)
✅ Imported 1,302,000 records (15841/sec)
✅ Imported 1,304,000 records (15847/sec)
✅ Imported 1,306,000 records (15849/sec)
✅ Imported 1,308,000 records (15845/sec)
✅ Imported 1,310,000 records (15810/sec)
✅ Imported 1,312,000 records (15750/sec)
✅ Imported 1,314,000 records (15718/sec)
✅ Imported 1,316,000 records (15676/sec)
✅ Imported 1,318,000 records (15655/sec)
✅ Imported 1,320,000 records (15645/sec)
✅ Imported 1,322,000 records (15637/sec)
✅ Imported 1,324,000 records (15633/sec)
✅ Imported 1,326,000 records (15612/sec)
✅ Imported 1,328,000 records (15605/sec)
✅ Imported 1,330,000 records (15588/sec)
✅ Imported 1,332,000 records (15551/sec)
✅ Imported 1,334,000 records (15528/sec)
✅ Imported 1,336,000 records (15462/sec)
✅ Imported 1,338,000 records (15447/sec)
✅ Imported 1,340,000 records (15435/sec)
✅ Imported 1,342,000 records (15388/sec)
✅ Imported 1,344,000 records (15391/sec)
✅ Imported 1,346,000 records (15395/sec)
✅ Imported 1,348,000 records (15396/sec)
