2025-07-16T12:46:57.333Z: Setting up SQLite database and EPC table...
2025-07-16T12:46:57.351Z: Database setup complete.
2025-07-16T12:46:57.352Z: Loading EPC data into SQLite...
2025-07-16T12:55:36.569Z: Processed 900,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:55:45.823Z: Processed 925,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:55:54.257Z: Processed 950,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:56:06.286Z: Processed 975,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:56:18.384Z: Processed 1,000,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:56:31.481Z: Processed 1,025,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:56:44.648Z: Processed 1,050,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:56:57.930Z: Processed 1,075,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:57:10.026Z: Processed 1,100,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:57:23.089Z: Processed 1,125,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:57:36.730Z: Processed 1,150,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:57:50.731Z: Processed 1,175,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:58:05.775Z: Processed 1,200,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:58:19.140Z: Processed 1,225,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:58:31.796Z: Processed 1,250,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:58:43.936Z: Processed 1,275,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:58:58.092Z: Processed 1,300,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:59:09.692Z: Processed 1,325,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:59:23.656Z: Processed 1,350,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:59:34.998Z: Processed 1,375,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:59:48.019Z: Processed 1,400,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:00.294Z: Processed 1,425,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:12.181Z: Processed 1,450,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:23.335Z: Processed 1,475,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:31.320Z: Processed 1,500,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:41.129Z: Processed 1,525,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:00:52.784Z: Processed 1,550,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:01:06.220Z: Processed 1,575,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T13:01:17.886Z: Processed 1,600,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
